Gene,HCC_122_N,HCC_122_T,HCC_34_N,HCC_34_T,HCC_36_N,HCC_36_T,HCC_37_N,HCC_37_T,HCC_77_N,HCC_77_T,HCC_12_N,HCC_12_T,HCC_13_N,HCC_13_T,HCC_15_N,HCC_15_T,HCC_19_N,HCC_19_T,HCC_1_N,HCC_1_T
SNAP25,0.16,0.07,0.41,0.77,5.6,2.56,3.99,7.99,0.96,0.03,0.61,1.13,0.09,0.02,0.45,3.08,3.01,2.23,3.02,4.94
SNAP29,8.12,10.83,10.44,14.54,13.47,15.61,11.71,12.78,9.11,9.26,8.06,11.96,7.88,9.33,9.56,20.17,10.19,8.31,8.91,10.48
SNAP47,5.21,20.32,3.39,7.71,5.87,6.46,7.05,7.81,6.08,4.89,5.76,11.18,4.79,6.06,4.96,6.69,7.64,16.58,5.66,15.17
SNAP91,0.01,0,0,0,0,0,0.08,0,0,0,0,0,0.02,0.24,0,0.04,0.12,0,0,0.02
SNAPC1,2.5,2.42,2.03,4.15,4.1,1.27,8.04,3.92,1.5,3.53,2.16,3.06,1.14,3.45,1.55,1.58,3.14,2.35,1.11,1.75
SNAPC2,3.12,3.93,0.45,0.56,0.99,0.78,2.75,1.74,3.33,2.53,1.03,2.65,2.14,2.3,1.26,2.5,4.43,5.69,2.8,5.37
SNAPC3,2.16,3.89,2.11,4.07,4.39,3.79,4.44,6.18,3.05,3.83,1.62,3.47,1.37,2.05,1.93,4.06,4.24,4.74,3.13,4.44
SNAPC4,3.39,3.55,0.22,0.41,0.54,0.31,1.04,0.59,3.8,2.93,0.64,1.12,1.13,1.54,0.48,0.55,1.66,1.93,1.54,2.63
SNAPC5,5.71,4.74,4.78,3.55,5.95,3.42,8.68,4.89,5.81,7.06,5.27,7.89,5.91,17.93,6.43,8.24,5.94,5.5,6.49,8.02
SNAPIN,14.44,33.73,17.73,41.82,27.66,26.21,28.17,39.17,17.04,12.69,11.77,20.18,15.49,17.79,14.38,64.21,20.7,36.54,17.37,36.41
SNAR-A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-A10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-A11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-A12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-A13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-A14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-A5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-A6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-A7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-A8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-A9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-C5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
